university,department,semester,source_form,date,gap,aug67_group,desired_department_match,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,desired_department_match_code,attendance_code,weekly_study_time_code,study_style_code,topic_clarity_code,sleep_duration_code,stress_frequency_code,weekly_responsibilities_code,distraction_frequency_code,study_environment_code,support_level_code,routine_manageability_code,recent_sgpa_band,cgpa_band
KUET,ECE,7.0,kuet,2026-08-06,1,True,Mostly different,60-74%,Less than 3 hrs,Occasionally when necessary,Almost nothing,Less than 5 hrs,Sometimes,11-15 hrs,Rarely,Mostly suitable,Some support,Completely unmanageable,1,2,0,0,0,0,2,3,1,3,2,0,C2,C1
KUET,ME,7.0,kuet,2026-08-06,0,True,Somewhat different,75-89%,Less than 3 hrs,Occasionally when necessary,Almost nothing,5-6 hrs,Rarely,None,Never,Neither good nor bad,Some support,Difficult to manage,2,3,0,0,0,1,1,0,0,2,2,1,C3,C3
KUET,ECE,7.0,kuet,2026-08-06,1,True,Mostly different,75-89%,11-15 hrs,Mostly just before exams,A little,5-6 hrs,Almost always,1-5 hrs,Sometimes,Neither good nor bad,Some support,Mostly manageable,1,3,3,1,1,1,4,1,2,2,2,3,C1,C2
KUET,IEM,7.0,kuet,2026-08-06,0,True,Somewhat different,90% or more,More than 15 hrs,Regularly but not every day,About half,Less than 5 hrs,Almost always,11-15 hrs,Rarely,Somewhat distracting,No support,Average,2,4,4,2,2,0,4,3,1,1,0,2,C0,C0
KUET,MSE,7.0,kuet,2026-08-06,1,True,Close to what I wanted,90% or more,11-15 hrs,Mostly just before exams,About half,6-7 hrs,Sometimes,1-5 hrs,Often,Excellent for focused study,Good support,Completely unmanageable,3,4,3,1,2,2,2,1,3,4,3,0,C1,C0
KUET,ECE,7.0,kuet,2026-08-06,1,True,"Yes, exactly what I wanted",75-89%,Less than 3 hrs,Regularly but not every day,Almost nothing,Less than 5 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Strong support,Average,4,3,0,2,0,0,2,1,3,2,4,2,C0,C1
KUET,ECE,7.0,kuet,2026-08-06,0,True,Close to what I wanted,75-89%,3-6 hrs,Occasionally when necessary,About half,5-6 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Some support,Mostly manageable,3,3,1,0,2,1,4,1,3,3,2,3,C0,C0
KUET,EEE,7.0,kuet,2026-08-06,1,True,Close to what I wanted,75-89%,More than 15 hrs,Consistent throughout the semester,Most of it,7-8 hrs,Almost always,6-10 hrs,Almost every day,Very distracting,Strong support,Mostly manageable,3,3,4,4,3,3,4,2,4,0,4,3,C2,C3
KUET,ECE,7.0,kuet,2026-08-06,1,True,"Yes, exactly what I wanted",60-74%,3-6 hrs,Occasionally when necessary,Most of it,More than 8 hrs,Almost always,None,Often,Neither good nor bad,No support,Average,4,2,1,0,3,4,4,0,3,2,0,2,C3,C2
KUET,BECM,7.0,kuet,2026-08-06,1,True,Mostly different,90% or more,7-10 hrs,Consistent throughout the semester,Most of it,7-8 hrs,Sometimes,More than 15 hrs,Almost every day,Neither good nor bad,Strong support,Very healthy and balanced,1,4,2,4,3,3,2,4,4,2,4,4,C2,C3
KUET,ECE,7.0,kuet,2026-08-06,1,True,Close to what I wanted,90% or more,3-6 hrs,Occasionally when necessary,Almost nothing,7-8 hrs,Never,None,Rarely,Mostly suitable,Good support,Difficult to manage,3,4,1,0,0,3,0,0,1,3,3,1,C1,C2
KUET,EEE,1.0,kuet,2026-08-06,0,False,"Yes, exactly what I wanted",40-59%,Less than 3 hrs,Mostly just before exams,Almost nothing,5-6 hrs,Sometimes,1-5 hrs,Almost every day,Neither good nor bad,Very little support,Difficult to manage,4,1,0,1,0,1,2,1,4,2,1,1,C0,C0
KUET,MSE,7.0,kuet,2026-08-06,1,True,"Yes, exactly what I wanted",60-74%,Less than 3 hrs,Occasionally when necessary,Most of it,Less than 5 hrs,Sometimes,6-10 hrs,Sometimes,Neither good nor bad,Good support,Very healthy and balanced,4,2,0,0,3,0,2,2,2,2,3,4,C3,C2
KUET,ME,7.0,kuet,2026-08-06,1,True,Mostly different,90% or more,3-6 hrs,Mostly just before exams,Most of it,More than 8 hrs,Almost always,11-15 hrs,Often,Excellent for focused study,No support,Mostly manageable,1,4,1,1,3,4,4,3,3,4,0,3,C0,C1
KUET,MSE,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",60-74%,7-10 hrs,Occasionally when necessary,Most of it,5-6 hrs,Often,1-5 hrs,Rarely,Somewhat distracting,Very little support,Average,4,2,2,0,3,1,3,1,1,1,1,2,C3,C3
KUET,ECE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,90% or more,7-10 hrs,Occasionally when necessary,About half,5-6 hrs,Often,6-10 hrs,Almost every day,Mostly suitable,Some support,Difficult to manage,0,4,2,0,2,1,3,2,4,3,2,1,C1,C1
KUET,MSE,7.0,kuet,2026-08-06,0,True,Mostly different,60-74%,3-6 hrs,Mostly just before exams,A little,5-6 hrs,Often,6-10 hrs,Sometimes,Neither good nor bad,Strong support,Average,1,2,1,1,1,1,3,2,2,2,4,2,C0,C0
KUET,CE,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",60-74%,More than 15 hrs,Occasionally when necessary,A little,6-7 hrs,Often,1-5 hrs,Sometimes,Excellent for focused study,No support,Difficult to manage,4,2,4,0,1,2,3,1,2,4,0,1,C0,C0
KUET,MSE,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",60-74%,3-6 hrs,Occasionally when necessary,A little,5-6 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Average,4,2,1,0,1,1,4,1,3,3,3,2,C3,C3
KUET,EEE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,90% or more,Less than 3 hrs,Mostly consistent routine,Almost everything,7-8 hrs,Often,1-5 hrs,Often,Very distracting,No support,Completely unmanageable,0,4,0,3,4,3,3,1,3,0,0,0,C2,C2
KUET,MSE,7.0,kuet,2026-08-06,1,True,"Yes, exactly what I wanted",90% or more,3-6 hrs,Mostly just before exams,About half,6-7 hrs,Sometimes,11-15 hrs,Rarely,Very distracting,Very little support,Difficult to manage,4,4,1,1,2,2,2,3,1,0,1,1,C3,C2
KUET,MSE,7.0,kuet,2026-08-06,1,True,Mostly different,90% or more,Less than 3 hrs,Occasionally when necessary,About half,5-6 hrs,Sometimes,6-10 hrs,Sometimes,Excellent for focused study,Some support,Completely unmanageable,1,4,0,0,2,1,2,2,2,4,2,0,C3,C2
KUET,CE,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,90% or more,Less than 3 hrs,Regularly but not every day,About half,Less than 5 hrs,Never,None,Rarely,Mostly suitable,Good support,Mostly manageable,0,4,0,2,2,0,0,0,1,3,3,3,C2,C3
KUET,ECE,7.0,kuet,2026-08-06,0,True,Close to what I wanted,60-74%,3-6 hrs,Mostly just before exams,About half,7-8 hrs,Often,None,Almost every day,Mostly suitable,Some support,Very healthy and balanced,3,2,1,1,2,3,3,0,4,3,2,4,C1,C1
KUET,ME,7.0,kuet,2026-08-06,0,True,Mostly different,75-89%,Less than 3 hrs,Consistent throughout the semester,About half,5-6 hrs,Rarely,None,Never,Very distracting,Some support,Very healthy and balanced,1,3,0,4,2,1,1,0,0,0,2,4,C2,C2
KUET,ECE,7.0,kuet,2026-08-06,1,True,Somewhat different,75-89%,3-6 hrs,Occasionally when necessary,About half,Less than 5 hrs,Often,1-5 hrs,Never,Mostly suitable,Very little support,Average,2,3,1,0,2,0,3,1,0,3,1,2,C1,C2
KUET,ME,7.0,kuet,2026-08-06,1,True,Close to what I wanted,90% or more,Less than 3 hrs,Occasionally when necessary,A little,6-7 hrs,Never,None,Often,Somewhat distracting,Good support,Very healthy and balanced,3,4,0,0,1,2,0,0,3,1,3,4,C1,C0
KUET,ECE,7.0,kuet,2026-08-06,1,True,"Yes, exactly what I wanted",90% or more,More than 15 hrs,Regularly but not every day,A little,6-7 hrs,Often,None,Sometimes,Somewhat distracting,Some support,Difficult to manage,4,4,4,2,1,2,3,0,2,1,2,1,C0,C1
KUET,EEE,7.0,kuet,2026-08-06,0,True,Close to what I wanted,60-74%,More than 15 hrs,Mostly just before exams,Almost nothing,7-8 hrs,Almost always,None,Rarely,Very distracting,Strong support,Difficult to manage,3,2,4,1,0,3,4,0,1,0,4,1,C1,C1
KUET,MSE,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",60-74%,3-6 hrs,Mostly consistent routine,Almost nothing,7-8 hrs,Almost always,1-5 hrs,Often,Neither good nor bad,Good support,Average,4,2,1,3,0,3,4,1,3,2,3,2,C1,C1
KUET,BECM,7.0,kuet,2026-08-06,0,True,Mostly different,90% or more,More than 15 hrs,Consistent throughout the semester,A little,7-8 hrs,Sometimes,6-10 hrs,Often,Somewhat distracting,Some support,Difficult to manage,1,4,4,4,1,3,2,2,3,1,2,1,C3,C3
KUET,ECE,7.0,kuet,2026-08-06,1,True,"Yes, exactly what I wanted",75-89%,Less than 3 hrs,Occasionally when necessary,Most of it,Less than 5 hrs,Often,11-15 hrs,Almost every day,Neither good nor bad,Good support,Difficult to manage,4,3,0,0,3,0,3,3,4,2,3,1,C0,C1
KUET,ECE,7.0,kuet,2026-08-06,1,True,Somewhat different,75-89%,3-6 hrs,Mostly just before exams,A little,5-6 hrs,Sometimes,1-5 hrs,Often,Mostly suitable,Some support,Very healthy and balanced,2,3,1,1,1,1,2,1,3,3,2,4,C3,C2
KUET,MSE,7.0,kuet,2026-08-06,0,True,Mostly different,60-74%,3-6 hrs,Mostly just before exams,Most of it,5-6 hrs,Almost always,None,Sometimes,Mostly suitable,Strong support,Average,1,2,1,1,3,1,4,0,2,3,4,2,C0,C0
KUET,MSE,7.0,kuet,2026-08-06,0,True,Close to what I wanted,90% or more,3-6 hrs,Occasionally when necessary,About half,More than 8 hrs,Often,6-10 hrs,Often,Mostly suitable,Some support,Average,3,4,1,0,2,4,3,2,3,3,2,2,C2,C2
KUET,EEE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,75-89%,7-10 hrs,Regularly but not every day,Most of it,5-6 hrs,Often,1-5 hrs,Sometimes,Somewhat distracting,No support,Difficult to manage,0,3,2,2,3,1,3,1,2,1,0,1,C1,C1
KUET,ECE,7.0,kuet,2026-08-06,1,True,Somewhat different,75-89%,Less than 3 hrs,Mostly just before exams,A little,7-8 hrs,Almost always,More than 15 hrs,Sometimes,Excellent for focused study,Some support,Average,2,3,0,1,1,3,4,4,2,4,2,2,C2,C1
KUET,CE,7.0,kuet,2026-08-06,0,True,Close to what I wanted,75-89%,Less than 3 hrs,Mostly consistent routine,A little,5-6 hrs,Sometimes,None,Rarely,Mostly suitable,Good support,Mostly manageable,3,3,0,3,1,1,2,0,1,3,3,3,C1,C1
KUET,ME,7.0,kuet,2026-08-06,1,True,Close to what I wanted,90% or more,More than 15 hrs,Occasionally when necessary,Almost nothing,7-8 hrs,Sometimes,More than 15 hrs,Almost every day,Mostly suitable,Some support,Very healthy and balanced,3,4,4,0,0,3,2,4,4,3,2,4,C2,C1
KUET,MSE,7.0,kuet,2026-08-06,0,True,Somewhat different,60-74%,3-6 hrs,Regularly but not every day,About half,Less than 5 hrs,Often,None,Often,Very distracting,Some support,Average,2,2,1,2,2,0,3,0,3,0,2,2,C0,C0
KUET,MSE,7.0,kuet,2026-08-06,0,True,Somewhat different,90% or more,7-10 hrs,Regularly but not every day,Almost nothing,6-7 hrs,Sometimes,11-15 hrs,Often,Neither good nor bad,Strong support,Mostly manageable,2,4,2,2,0,2,2,3,3,2,4,3,C1,C1
KUET,CE,7.0,kuet,2026-08-06,1,True,"Yes, exactly what I wanted",75-89%,3-6 hrs,Occasionally when necessary,Almost everything,Less than 5 hrs,Sometimes,1-5 hrs,Often,Excellent for focused study,Strong support,Very healthy and balanced,4,3,1,0,4,0,2,1,3,4,4,4,C0,C1
KUET,ME,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,90% or more,3-6 hrs,Consistent throughout the semester,A little,5-6 hrs,Never,11-15 hrs,Never,Mostly suitable,Very little support,Average,0,4,1,4,1,1,0,3,0,3,1,2,C1,C0
KUET,ECE,7.0,kuet,2026-08-06,0,True,Close to what I wanted,60-74%,3-6 hrs,Mostly just before exams,A little,5-6 hrs,Often,None,Sometimes,Neither good nor bad,Very little support,Mostly manageable,3,2,1,1,1,1,3,0,2,2,1,3,C2,C2
KUET,EEE,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,60-74%,Less than 3 hrs,Occasionally when necessary,Most of it,More than 8 hrs,Sometimes,6-10 hrs,Often,Very distracting,Some support,Very healthy and balanced,0,2,0,0,3,4,2,2,3,0,2,4,C1,C0
KUET,ECE,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",60-74%,3-6 hrs,Consistent throughout the semester,Most of it,6-7 hrs,Sometimes,1-5 hrs,Rarely,Neither good nor bad,Good support,Average,4,2,1,4,3,2,2,1,1,2,3,2,C2,C2
KUET,ME,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",60-74%,3-6 hrs,Regularly but not every day,Almost nothing,Less than 5 hrs,Never,6-10 hrs,Sometimes,Mostly suitable,Very little support,Average,4,2,1,2,0,0,0,2,2,3,1,2,C2,C2
KUET,CE,7.0,kuet,2026-08-06,1,True,Close to what I wanted,60-74%,7-10 hrs,Regularly but not every day,Most of it,6-7 hrs,Never,1-5 hrs,Never,Somewhat distracting,Strong support,Difficult to manage,3,2,2,2,3,2,0,1,0,1,4,1,C2,C1
KUET,CSE,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",90% or more,7-10 hrs,Mostly just before exams,A little,Less than 5 hrs,Often,More than 15 hrs,Never,Very distracting,Good support,Average,4,4,2,1,1,0,3,4,0,0,3,2,C3,C3
KUET,EEE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,75-89%,7-10 hrs,Occasionally when necessary,About half,More than 8 hrs,Never,11-15 hrs,Sometimes,Neither good nor bad,Strong support,Difficult to manage,0,3,2,0,2,4,0,3,2,2,4,1,C2,C2
KUET,IEM,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",60-74%,Less than 3 hrs,Mostly just before exams,About half,6-7 hrs,Often,None,Never,Excellent for focused study,Strong support,Very healthy and balanced,4,2,0,1,2,2,3,0,0,4,4,4,C2,C2
KUET,EEE,7.0,kuet,2026-08-06,1,True,Close to what I wanted,75-89%,7-10 hrs,Consistent throughout the semester,About half,5-6 hrs,Almost always,6-10 hrs,Almost every day,Mostly suitable,Good support,Very healthy and balanced,3,3,2,4,2,1,4,2,4,3,3,4,C1,C0
KUET,BECM,7.0,kuet,2026-08-06,1,True,Mostly different,60-74%,7-10 hrs,Mostly just before exams,About half,5-6 hrs,Sometimes,1-5 hrs,Often,Mostly suitable,Very little support,Completely unmanageable,1,2,2,1,2,1,2,1,3,3,1,0,C3,C2
KUET,ME,7.0,kuet,2026-08-06,0,True,Close to what I wanted,60-74%,3-6 hrs,Occasionally when necessary,About half,7-8 hrs,Almost always,6-10 hrs,Sometimes,Very distracting,No support,Difficult to manage,3,2,1,0,2,3,4,2,2,0,0,1,C3,C3
KUET,EEE,7.0,kuet,2026-08-06,0,True,Mostly different,75-89%,11-15 hrs,Mostly just before exams,Almost everything,5-6 hrs,Sometimes,More than 15 hrs,Sometimes,Neither good nor bad,Some support,Mostly manageable,1,3,3,1,4,1,2,4,2,2,2,3,C3,C3
KUET,CE,7.0,kuet,2026-08-06,0,True,Somewhat different,75-89%,11-15 hrs,Occasionally when necessary,Almost nothing,Less than 5 hrs,Almost always,More than 15 hrs,Never,Excellent for focused study,No support,Average,2,3,3,0,0,0,4,4,0,4,0,2,C0,C0
KUET,URP,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,90% or more,11-15 hrs,Mostly consistent routine,Almost nothing,6-7 hrs,Never,None,Sometimes,Neither good nor bad,No support,Mostly manageable,0,4,3,3,0,2,0,0,2,2,0,3,C0,C0
KUET,IEM,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,75-89%,3-6 hrs,Mostly just before exams,About half,6-7 hrs,Rarely,11-15 hrs,Almost every day,Excellent for focused study,No support,Very healthy and balanced,0,3,1,1,2,2,1,3,4,4,0,4,C2,C3
KUET,MSE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,75-89%,7-10 hrs,Occasionally when necessary,About half,More than 8 hrs,Almost always,More than 15 hrs,Almost every day,Mostly suitable,No support,Very healthy and balanced,0,3,2,0,2,4,4,4,4,3,0,4,C0,C0
KUET,CE,7.0,kuet,2026-08-06,1,True,Close to what I wanted,75-89%,7-10 hrs,Mostly consistent routine,Almost nothing,7-8 hrs,Rarely,1-5 hrs,Almost every day,Neither good nor bad,Very little support,Difficult to manage,3,3,2,3,0,3,1,1,4,2,1,1,C2,C3
KUET,ME,7.0,kuet,2026-08-06,1,True,Close to what I wanted,60-74%,3-6 hrs,Occasionally when necessary,Almost nothing,More than 8 hrs,Rarely,None,Often,Excellent for focused study,No support,Average,3,2,1,0,0,4,1,0,3,4,0,2,C0,C1
KUET,MTE,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,60-74%,3-6 hrs,Regularly but not every day,About half,6-7 hrs,Never,1-5 hrs,Sometimes,Excellent for focused study,Strong support,Completely unmanageable,0,2,1,2,2,2,0,1,2,4,4,0,C1,C0
KUET,CE,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",75-89%,3-6 hrs,Regularly but not every day,A little,Less than 5 hrs,Rarely,None,Often,Very distracting,Some support,Difficult to manage,4,3,1,2,1,0,1,0,3,0,2,1,C1,C1
KUET,CSE,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,60-74%,Less than 3 hrs,Regularly but not every day,Most of it,7-8 hrs,Sometimes,11-15 hrs,Rarely,Mostly suitable,Good support,Average,0,2,0,2,3,3,2,3,1,3,3,2,C3,C2
KUET,BECM,7.0,kuet,2026-08-06,1,True,Close to what I wanted,60-74%,Less than 3 hrs,Regularly but not every day,Almost everything,More than 8 hrs,Rarely,11-15 hrs,Often,Somewhat distracting,Strong support,Mostly manageable,3,2,0,2,4,4,1,3,3,1,4,3,C0,C1
KUET,LE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,75-89%,11-15 hrs,Mostly just before exams,Almost everything,7-8 hrs,Never,6-10 hrs,Never,Somewhat distracting,Very little support,Difficult to manage,0,3,3,1,4,3,0,2,0,1,1,1,C3,C3
KUET,BME,7.0,kuet,2026-08-06,0,True,Somewhat different,75-89%,7-10 hrs,Consistent throughout the semester,A little,5-6 hrs,Sometimes,6-10 hrs,Rarely,Mostly suitable,Good support,Difficult to manage,2,3,2,4,1,1,2,2,1,3,3,1,C2,C2
KUET,LE,7.0,kuet,2026-08-06,1,True,Mostly different,90% or more,3-6 hrs,Consistent throughout the semester,Almost everything,7-8 hrs,Never,1-5 hrs,Never,Very distracting,No support,Difficult to manage,1,4,1,4,4,3,0,1,0,0,0,1,C0,C1
KUET,ESE,7.0,kuet,2026-08-06,0,True,Mostly different,60-74%,7-10 hrs,Occasionally when necessary,A little,7-8 hrs,Often,1-5 hrs,Often,Somewhat distracting,Some support,Difficult to manage,1,2,2,0,1,3,3,1,3,1,2,1,C2,C2
KUET,BECM,7.0,kuet,2026-08-06,1,True,"Yes, exactly what I wanted",60-74%,Less than 3 hrs,Mostly consistent routine,About half,More than 8 hrs,Almost always,11-15 hrs,Often,Neither good nor bad,Strong support,Average,4,2,0,3,2,4,4,3,3,2,4,2,C3,C2
KUET,MSE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,75-89%,11-15 hrs,Consistent throughout the semester,A little,More than 8 hrs,Often,1-5 hrs,Rarely,Somewhat distracting,No support,Difficult to manage,0,3,3,4,1,4,3,1,1,1,0,1,C3,C3
KUET,EEE,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",90% or more,More than 15 hrs,Mostly consistent routine,Most of it,5-6 hrs,Never,6-10 hrs,Often,Neither good nor bad,Very little support,Mostly manageable,4,4,4,3,3,1,0,2,3,2,1,3,C1,C1
KUET,TE,7.0,kuet,2026-08-06,0,True,Close to what I wanted,90% or more,11-15 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,1-5 hrs,Almost every day,Somewhat distracting,Some support,Very healthy and balanced,3,4,3,2,2,1,1,1,4,1,2,4,C0,C0
KUET,ME,7.0,kuet,2026-08-06,1,True,Somewhat different,75-89%,More than 15 hrs,Occasionally when necessary,About half,More than 8 hrs,Often,None,Often,Excellent for focused study,Good support,Average,2,3,4,0,2,4,3,0,3,4,3,2,C1,C2
KUET,ARCH,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,60-74%,More than 15 hrs,Regularly but not every day,About half,More than 8 hrs,Often,None,Rarely,Very distracting,No support,Very healthy and balanced,0,2,4,2,2,4,3,0,1,0,0,4,C1,C2
KUET,ME,7.0,kuet,2026-08-06,0,True,Mostly different,75-89%,11-15 hrs,Mostly consistent routine,Most of it,7-8 hrs,Sometimes,6-10 hrs,Often,Somewhat distracting,No support,Very healthy and balanced,1,3,3,3,3,3,2,2,3,1,0,4,C3,C3
KUET,ME,7.0,kuet,2026-08-06,0,True,Mostly different,75-89%,7-10 hrs,Occasionally when necessary,Almost everything,6-7 hrs,Almost always,11-15 hrs,Sometimes,Mostly suitable,Good support,Completely unmanageable,1,3,2,0,4,2,4,3,2,3,3,0,C0,C0
KUET,MTE,7.0,kuet,2026-08-06,1,True,Somewhat different,60-74%,11-15 hrs,Regularly but not every day,A little,7-8 hrs,Rarely,More than 15 hrs,Almost every day,Excellent for focused study,Good support,Average,2,2,3,2,1,3,1,4,4,4,3,2,C2,C3
KUET,URP,7.0,kuet,2026-08-06,1,True,Close to what I wanted,60-74%,3-6 hrs,Mostly just before exams,A little,More than 8 hrs,Rarely,1-5 hrs,Almost every day,Neither good nor bad,Some support,Mostly manageable,3,2,1,1,1,4,1,1,4,2,2,3,C3,C2
KUET,EEE,7.0,kuet,2026-08-06,1,True,Close to what I wanted,75-89%,7-10 hrs,Occasionally when necessary,Almost nothing,6-7 hrs,Sometimes,6-10 hrs,Never,Mostly suitable,Very little support,Very healthy and balanced,3,3,2,0,0,2,2,2,0,3,1,4,C3,C2
KUET,LE,7.0,kuet,2026-08-06,1,True,Somewhat different,75-89%,3-6 hrs,Mostly consistent routine,Almost nothing,5-6 hrs,Never,6-10 hrs,Almost every day,Excellent for focused study,Some support,Mostly manageable,2,3,1,3,0,1,0,2,4,4,2,3,C2,C1
KUET,ARCH,7.0,kuet,2026-08-06,0,True,Mostly different,75-89%,3-6 hrs,Consistent throughout the semester,Most of it,5-6 hrs,Sometimes,More than 15 hrs,Often,Neither good nor bad,Some support,Difficult to manage,1,3,1,4,3,1,2,4,3,2,2,1,C1,C1
KUET,LE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,60-74%,More than 15 hrs,Occasionally when necessary,Almost everything,7-8 hrs,Often,1-5 hrs,Almost every day,Excellent for focused study,Strong support,Mostly manageable,0,2,4,0,4,3,3,1,4,4,4,3,C1,C1
KUET,EEE,7.0,kuet,2026-08-06,1,True,"Yes, exactly what I wanted",90% or more,3-6 hrs,Consistent throughout the semester,Almost everything,6-7 hrs,Never,11-15 hrs,Almost every day,Very distracting,Some support,Very healthy and balanced,4,4,1,4,4,2,0,3,4,0,2,4,C1,C2
KUET,BECM,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",60-74%,3-6 hrs,Occasionally when necessary,About half,7-8 hrs,Almost always,None,Often,Very distracting,Strong support,Very healthy and balanced,4,2,1,0,2,3,4,0,3,0,4,4,C1,C1
KUET,IEM,7.0,kuet,2026-08-06,1,True,Close to what I wanted,75-89%,11-15 hrs,Mostly consistent routine,Almost everything,5-6 hrs,Never,More than 15 hrs,Often,Neither good nor bad,Strong support,Very healthy and balanced,3,3,3,3,4,1,0,4,3,2,4,4,C0,C1
KUET,BME,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,60-74%,Less than 3 hrs,Occasionally when necessary,Most of it,More than 8 hrs,Never,More than 15 hrs,Rarely,Excellent for focused study,Very little support,Completely unmanageable,0,2,0,0,3,4,0,4,1,4,1,0,C1,C0
KUET,EEE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,90% or more,11-15 hrs,Consistent throughout the semester,About half,6-7 hrs,Never,More than 15 hrs,Almost every day,Somewhat distracting,Very little support,Mostly manageable,0,4,3,4,2,2,0,4,4,1,1,3,C0,C0
KUET,MSE,7.0,kuet,2026-08-06,1,True,Somewhat different,60-74%,7-10 hrs,Mostly just before exams,Almost nothing,7-8 hrs,Rarely,More than 15 hrs,Never,Very distracting,Very little support,Difficult to manage,2,2,2,1,0,3,1,4,0,0,1,1,C2,C3
KUET,BECM,7.0,kuet,2026-08-06,1,True,Mostly different,75-89%,3-6 hrs,Occasionally when necessary,About half,Less than 5 hrs,Almost always,More than 15 hrs,Never,Somewhat distracting,Strong support,Difficult to manage,1,3,1,0,2,0,4,4,0,1,4,1,C3,C2
KUET,URP,7.0,kuet,2026-08-06,0,True,Mostly different,60-74%,More than 15 hrs,Occasionally when necessary,Almost everything,7-8 hrs,Never,6-10 hrs,Almost every day,Excellent for focused study,No support,Difficult to manage,1,2,4,0,4,3,0,2,4,4,0,1,C3,C3
KUET,MSE,7.0,kuet,2026-08-06,0,True,"Yes, exactly what I wanted",90% or more,11-15 hrs,Mostly consistent routine,Most of it,7-8 hrs,Rarely,None,Never,Excellent for focused study,Very little support,Average,4,4,3,3,3,3,1,0,0,4,1,2,C0,C0
KUET,URP,7.0,kuet,2026-08-06,0,True,Mostly different,75-89%,Less than 3 hrs,Occasionally when necessary,A little,5-6 hrs,Sometimes,11-15 hrs,Often,Very distracting,Very little support,Very healthy and balanced,1,3,0,0,1,1,2,3,3,0,1,4,C0,C0
KUET,ME,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,90% or more,Less than 3 hrs,Occasionally when necessary,A little,More than 8 hrs,Rarely,1-5 hrs,Never,Somewhat distracting,Some support,Average,0,4,0,0,1,4,1,1,0,1,2,2,C2,C1
KUET,ChE,7.0,kuet,2026-08-06,0,True,Somewhat different,75-89%,Less than 3 hrs,Occasionally when necessary,Almost everything,6-7 hrs,Often,6-10 hrs,Often,Somewhat distracting,No support,Average,2,3,0,0,4,2,3,2,3,1,0,2,C0,C0
KUET,CE,7.0,kuet,2026-08-06,1,True,Mostly different,90% or more,11-15 hrs,Consistent throughout the semester,Most of it,6-7 hrs,Never,11-15 hrs,Sometimes,Very distracting,Very little support,Completely unmanageable,1,4,3,4,3,2,0,3,2,0,1,0,C1,C0
KUET,CSE,7.0,kuet,2026-08-06,0,True,Not at all what I wanted,75-89%,11-15 hrs,Mostly just before exams,A little,7-8 hrs,Almost always,11-15 hrs,Never,Excellent for focused study,Good support,Mostly manageable,0,3,3,1,1,3,4,3,0,4,3,3,C1,C1
KUET,MTE,7.0,kuet,2026-08-06,1,True,Not at all what I wanted,60-74%,7-10 hrs,Consistent throughout the semester,A little,6-7 hrs,Often,11-15 hrs,Often,Very distracting,Strong support,Difficult to manage,0,2,2,4,1,2,3,3,3,0,4,1,C2,C3
KUET,ARCH,7.0,kuet,2026-08-06,0,True,Mostly different,75-89%,More than 15 hrs,Mostly just before exams,A little,6-7 hrs,Rarely,1-5 hrs,Almost every day,Somewhat distracting,No support,Average,1,3,4,1,1,2,1,1,4,1,0,2,C0,C0
KUET,LE,7.0,kuet,2026-08-06,0,True,Close to what I wanted,75-89%,11-15 hrs,Mostly consistent routine,A little,5-6 hrs,Rarely,More than 15 hrs,Rarely,Somewhat distracting,Strong support,Average,3,3,3,3,1,1,1,4,1,1,4,2,C1,C1
